0,1,2,3,4,5
1,A,≤15.0,,3.5,30.0
1,A,≤15.0,3.6,3.6,28.0
1,A,≤15.0,3.7,3.7,25.0
1,A,≤15.0,3.8,3.8,23.0
1,A,≤15.0,3.9,3.9,21.0
1,A,≤15.0,4.0,4.0,19.0
1,A,15.1-30.0,,3.1,19.0
1,A,15.1-30.0,3.2,3.2,17.0
1,A,15.1-30.0,3.3,3.3,16.0
1,A,15.1-30.0,3.4,3.4,15.0
1,A,15.1-30.0,3.5,3.5,14.0
1,A,15.1-30.0,3.6,3.6,12.0
1,B,≤15.0,,4.1,16.0
1,B,≤15.0,4.2,4.2,14.0
1,B,≤15.0,4.3,4.3,12.0
1,B,≤15.0,4.4,4.4,9.0
1,B,≤15.0,4.5,4.5,7.0
1,B,≤15.0,4.6,4.6,5.0
1,B,15.1-30.0,,3.7,11.0
1,B,15.1-30.0,3.8,3.8,10.0
1,B,15.1-30.0,3.9,3.9,8.0
1,B,15.1-30.0,4.0,4.0,6.0
1,B,15.1-30.0,4.1,4.1,4.0
1,B,15.1-30.0,4.2,4.2,4.0
1,C,≤15.0,4.7,5.2,4.0
1,C,15.1-30.0,4.3,4.7,3.0
1,D,≤15.0,5.3,5.6,
1,D,15.1-30.0,4.8,5.1,
1,E,≤15.0,5.7,,
1,E,15.1-30.0,5.2,,
2,A,≤15.0,,3.8,40.0
2,A,≤15.0,3.9,3.9,37.0
2,A,≤15.0,4.0,4.0,35.0
2,A,≤15.0,4.1,4.1,32.0
2,A,≤15.0,4.2,4.2,29.0
2,A,≤15.0,4.3,4.3,27.0
2,A,15.1-30.0,,3.2,25.0
2,A,15.1-30.0,3.3,3.3,23.0
2,A,15.1-30.0,3.4,3.4,21.0
2,A,15.1-30.0,3.5,3.5,20.0
2,A,15.1-30.0,3.6,3.6,18.0
2,A,15.1-30.0,3.7,3.7,17.0
2,B,≤15.0,,4.4,24.0
2,B,≤15.0,4.5,4.5,22.0
2,B,≤15.0,4.6,4.6,19.0
2,B,≤15.0,4.7,4.7,16.0
2,B,≤15.0,4.8,4.8,14.0
2,B,≤15.0,4.9,4.9,11.0
2,B,15.1-30.0,,3.8,15.0
2,B,15.1-30.0,3.9,3.9,13.0
2,B,15.1-30.0,4.0,4.0,12.0
2,B,15.1-30.0,4.1,4.1,10.0
2,B,15.1-30.0,4.2,4.2,9.0
2,B,15.1-30.0,4.3,4.3,6.0
2,C,≤15.0,5.2,5.7,5.0
2,C,15.1-30.0,4.6,5.1,3.0
2,D,≤15.0,5.8,6.1,
2,D,15.1-30.0,5.2,5.5,
2,E,≤15.0,6.2,,
2,E,15.1-30.0,5.6,,
3,A,≤15.0,,4.0,50.0
3,A,≤15.0,4.1,4.1,47.0
3,A,≤15.0,4.2,4.2,43.0
3,A,≤15.0,4.3,4.3,40.0
3,A,≤15.0,4.4,4.4,37.0
3,A,≤15.0,4.5,4.5,33.0
3,A,15.1-30.0,,3.4,30.0
3,A,15.1-30.0,3.5,3.5,28.0
3,A,15.1-30.0,3.6,3.6,26.0
3,A,15.1-30.0,3.7,3.7,24.0
3,A,15.1-30.0,3.8,3.8,22.0
3,A,15.1-30.0,3.9,3.9,20.0
3,B,≤15.0,,4.6,30.0
3,B,≤15.0,4.7,4.7,27.0
3,B,≤15.0,4.8,4.8,24.0
3,B,≤15.0,4.9,4.9,20.0
3,B,≤15.0,5.0,5.0,17.0
3,B,≤15.0,5.1,5.1,14.0
3,B,15.1-30.0,,4.0,18.0
3,B,15.1-30.0,4.1,4.1,16.0
3,B,15.1-30.0,4.2,4.2,15.0
3,B,15.1-30.0,4.3,4.3,13.0
3,B,15.1-30.0,4.4,4.4,11.0
3,B,15.1-30.0,4.5,4.5,9.0
3,C,≤15.0,5.4,6.0,6.0
3,C,15.1-30.0,4.8,5.4,4.0
3,D,≤15.0,6.1,6.5,
3,D,15.1-30.0,5.5,5.8,
3,E,≤15.0,6.6,,
3,E,15.1-30.0,5.9,,
4,A,≤15.0,,4.2,57.0
4,A,≤15.0,4.3,4.3,54.0
4,A,≤15.0,4.4,4.4,50.0
4,A,≤15.0,4.5,4.5,46.0
4,A,≤15.0,4.6,4.6,42.0
4,A,≤15.0,4.7,4.7,38.0
4,A,15.1-30.0,,3.6,36.0
4,A,15.1-30.0,3.7,3.7,34.0
4,A,15.1-30.0,3.8,3.8,31.0
4,A,15.1-30.0,3.9,3.9,29.0
4,A,15.1-30.0,4.0,4.0,27.0
4,A,15.1-30.0,4.1,4.1,24.0
4,B,≤15.0,,4.8,35.0
4,B,≤15.0,4.9,4.9,31.0
4,B,≤15.0,5.0,5.0,27.0
4,B,≤15.0,5.1,5.1,23.0
4,B,≤15.0,5.2,5.2,19.0
4,B,≤15.0,5.3,5.3,16.0
4,B,15.1-30.0,,4.3,22.0
4,B,15.1-30.0,4.4,4.4,20.0
4,B,15.1-30.0,4.5,4.5,18.0
4,B,15.1-30.0,4.6,4.6,15.0
4,B,15.1-30.0,4.7,4.7,13.0
4,B,15.1-30.0,4.8,4.8,10.0
4,C,≤15.0,5.6,6.3,7.0
4,C,15.1-30.0,5.0,5.7,5.0
4,D,≤15.0,6.4,6.8,
4,D,15.1-30.0,5.8,6.1,
4,E,≤15.0,6.9,,
4,E,15.1-30.0,6.2,,
5,A,≤15.0,,4.2,68.0
5,A,≤15.0,4.3,4.3,63.0
5,A,≤15.0,4.4,4.4,59.0
5,A,≤15.0,4.5,4.5,55.0
5,A,≤15.0,4.6,4.6,51.0
5,A,≤15.0,4.7,4.7,47.0
5,A,15.1-30.0,,3.6,45.0
5,A,15.1-30.0,3.7,3.7,42.0
5,A,15.1-30.0,3.8,3.8,40.0
5,A,15.1-30.0,3.9,3.9,37.0
5,A,15.1-30.0,4.0,4.0,35.0
5,A,15.1-30.0,4.1,4.1,31.0
5,B,≤15.0,,4.8,43.0
5,B,≤15.0,4.9,4.9,38.0
5,B,≤15.0,5.0,5.0,34.0
5,B,≤15.0,5.1,5.1,30.0
5,B,≤15.0,5.2,5.2,26.0
5,B,≤15.0,5.3,5.3,22.0
5,B,15.1-30.0,,4.2,29.0
5,B,15.1-30.0,4.3,4.3,26.0
5,B,15.1-30.0,4.4,4.4,23.0
5,B,15.1-30.0,4.5,4.5,20.0
5,B,15.1-30.0,4.6,4.6,17.0
5,B,15.1-30.0,4.7,4.7,14.0
5,C,≤15.0,5.7,6.5,8.0
5,C,15.1-30.0,5.1,5.9,6.0
5,D,≤15.0,6.6,7.0,
5,D,15.1-30.0,6.1,6.4,
5,E,≤15.0,7.1,,
5,E,15.1-30.0,6.5,,
6,,>30.0,,4.2,10.0
6,,>30.0,4.3,,
6,,>30.0,4.4,,
